"Gross domestic product (GDP) at basic prices, by industry, provinces and territories (x 1,000,000) c 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 36-10-0402-01 (formerly CANSIM 379-0030)"
"Release date: 2023-11-08"
"Geography: Province or territory"
""
""

"Value","Current dollars",,,,,,,,,,,,,,,,,,,,,,
"North American Industry Classification System (NAICS) 7 8 9","Oil sands extraction  [21114] 10",,,,,,,,,,,,,,,,,,,,,,
"Geography","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,
"Newfoundland and Labrador","..","..","..","..","..","..","..","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","..",".."
"Prince Edward Island","..","..","..","..","..","..","..","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","..",".."
"Nova Scotia","..","..","..","..","..","..","..","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","..",".."
"New Brunswick","..","..","..","..","..","..","..","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","..",".."
"Quebec","..","..","..","..","..","..","..","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","..",".."
"Ontario","..","..","..","..","..","..","..","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","..",".."
"Manitoba","..","..","..","..","..","..","..","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","..",".."
"Saskatchewan","..","..","..","..","..","..","..","215.6","414.1","339.2","348.4","410.1","516.4","699.9","550.6","396.0","586.2","404.8","1,075.2","207.1","157.9","..",".."
"Alberta","..","..","..","..","..","..","..","19,376.1","29,571.6","20,798.8","27,779.2","32,274.7","31,378.2","35,679.9","46,524.9","22,870.7","20,800.9","32,809.7","38,970.2","45,187.9","19,571.9","..",".."
"British Columbia","..","..","..","..","..","..","..","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","..",".."
